feature_id	msms_score	reference_id	short_inchikey	libname	component_id	mz
201	0.8452958254095534	187507	(4R,4aS,6R)-6-isopropenyl-4,4a-dimethyl-4,4a,5,6,7,8-hexahydro-2(3H)-naphthalenone	PublicSpecLibrary	29	219.17430114746097
201	0.8741542472500263	187515	(4R,4aS,6R)-6-isopropenyl-4,4a-dimethyl-4,4a,5,6,7,8-hexahydro-2(3H)-naphthalenone	PublicSpecLibrary	29	219.17430114746097
201	0.8522174359170425	187523	(4R,4aS,6R)-6-isopropenyl-4,4a-dimethyl-4,4a,5,6,7,8-hexahydro-2(3H)-naphthalenone	PublicSpecLibrary	29	219.17430114746097
201	0.8746541444262624	187531	(4R,4aS,6R)-6-isopropenyl-4,4a-dimethyl-4,4a,5,6,7,8-hexahydro-2(3H)-naphthalenone	PublicSpecLibrary	29	219.17430114746097
201	0.8892956635084681	187539	(4R,4aS,6R)-6-isopropenyl-4,4a-dimethyl-4,4a,5,6,7,8-hexahydro-2(3H)-naphthalenone	PublicSpecLibrary	29	219.17430114746097
201	0.8717913601510663	187547	(4R,4aS,6R)-6-isopropenyl-4,4a-dimethyl-4,4a,5,6,7,8-hexahydro-2(3H)-naphthalenone	PublicSpecLibrary	29	219.17430114746097
201	0.878640948169958	187555	(4R,4aS,6R)-6-isopropenyl-4,4a-dimethyl-4,4a,5,6,7,8-hexahydro-2(3H)-naphthalenone	PublicSpecLibrary	29	219.17430114746097
201	0.8946100664032746	187563	(4R,4aS,6R)-6-isopropenyl-4,4a-dimethyl-4,4a,5,6,7,8-hexahydro-2(3H)-naphthalenone	PublicSpecLibrary	29	219.17430114746097
201	0.8819132162111933	187571	(4R,4aS,6R)-6-isopropenyl-4,4a-dimethyl-4,4a,5,6,7,8-hexahydro-2(3H)-naphthalenone	PublicSpecLibrary	29	219.17430114746097
201	0.8709053568367792	187579	(4R,4aS,6R)-6-isopropenyl-4,4a-dimethyl-4,4a,5,6,7,8-hexahydro-2(3H)-naphthalenone	PublicSpecLibrary	29	219.17430114746097
201	0.8794240735862436	187587	(4R,4aS,6R)-6-isopropenyl-4,4a-dimethyl-4,4a,5,6,7,8-hexahydro-2(3H)-naphthalenone	PublicSpecLibrary	29	219.17430114746097
201	0.949068370262482	187595	(4R,4aS,6R)-6-isopropenyl-4,4a-dimethyl-4,4a,5,6,7,8-hexahydro-2(3H)-naphthalenone	PublicSpecLibrary	29	219.17430114746097
201	0.8468558037170799	187603	(4R,4aS,6R)-6-isopropenyl-4,4a-dimethyl-4,4a,5,6,7,8-hexahydro-2(3H)-naphthalenone	PublicSpecLibrary	29	219.17430114746097
201	0.8710525855732594	187611	(4R,4aS,6R)-6-isopropenyl-4,4a-dimethyl-4,4a,5,6,7,8-hexahydro-2(3H)-naphthalenone	PublicSpecLibrary	29	219.17430114746097
201	0.8786007291643292	187619	(4R,4aS,6R)-6-isopropenyl-4,4a-dimethyl-4,4a,5,6,7,8-hexahydro-2(3H)-naphthalenone	PublicSpecLibrary	29	219.17430114746097
201	0.8081197777921536	187627	(4R,4aS,6R)-6-isopropenyl-4,4a-dimethyl-4,4a,5,6,7,8-hexahydro-2(3H)-naphthalenone	PublicSpecLibrary	29	219.17430114746097
201	0.8907314480975231	187635	(4R,4aS,6R)-6-isopropenyl-4,4a-dimethyl-4,4a,5,6,7,8-hexahydro-2(3H)-naphthalenone	PublicSpecLibrary	29	219.17430114746097
201	0.8850660092833746	187643	(4R,4aS,6R)-6-isopropenyl-4,4a-dimethyl-4,4a,5,6,7,8-hexahydro-2(3H)-naphthalenone	PublicSpecLibrary	29	219.17430114746097
201	0.9240992083928962	187651	(4R,4aS,6R)-6-isopropenyl-4,4a-dimethyl-4,4a,5,6,7,8-hexahydro-2(3H)-naphthalenone	PublicSpecLibrary	29	219.17430114746097
201	0.8005540324393895	187659	(4R,4aS,6R)-6-isopropenyl-4,4a-dimethyl-4,4a,5,6,7,8-hexahydro-2(3H)-naphthalenone	PublicSpecLibrary	29	219.17430114746097
201	0.8374916396341074	187667	(4R,4aS,6R)-6-isopropenyl-4,4a-dimethyl-4,4a,5,6,7,8-hexahydro-2(3H)-naphthalenone	PublicSpecLibrary	29	219.17430114746097
201	0.922207528560351	187675	(4R,4aS,6R)-6-isopropenyl-4,4a-dimethyl-4,4a,5,6,7,8-hexahydro-2(3H)-naphthalenone	PublicSpecLibrary	29	219.17430114746097
201	0.8686174073012757	187683	(4R,4aS,6R)-6-isopropenyl-4,4a-dimethyl-4,4a,5,6,7,8-hexahydro-2(3H)-naphthalenone	PublicSpecLibrary	29	219.17430114746097
201	0.9152458212752084	366050	(1S,3R,3aS,4R,6R,8aR,9R)-Decahydro-1,5,5,8a-tetramethyl-1,4-methanoazulene-3,6,9-triol	PublicSpecLibrary	29	219.17430114746097
201	0.7930812270961796	366097	(1S,3R,3aS,4R,6R,8aR,9R)-Decahydro-1,5,5,8a-tetramethyl-1,4-methanoazulene-3,6,9-triol	PublicSpecLibrary	29	219.17430114746097
201	0.9113798894993952	366649	(1S,3R,3aS,4R,6R,8aR,9R)-Decahydro-1,5,5,8a-tetramethyl-1,4-methanoazulene-3,6,9-triol	PublicSpecLibrary	29	219.17430114746097
201	0.9745070493918588	401464	(4R,4aS,6R)-4,4a-dimethyl-6-prop-1-en-2-yl-3,4,5,6,7,8-hexahydronaphthalen-2-one	PublicSpecLibrary	29	219.17430114746097
201	0.9957807068877554	404948	(4R,4aS,6R)-4,4a-dimethyl-6-prop-1-en-2-yl-3,4,5,6,7,8-hexahydronaphthalen-2-one	PublicSpecLibrary	29	219.17430114746097
201	0.9883272150743656	405356	alpha-Cyperone	PublicSpecLibrary	29	219.17430114746097
201	0.9914652044472368	405619	alpha-Cyperone	PublicSpecLibrary	29	219.17430114746097
201	0.9863458325434944	406757	alpha-Cyperone	PublicSpecLibrary	29	219.17430114746097
201	0.9658895078359652	407029	alpha-Cyperone	PublicSpecLibrary	29	219.17430114746097
201	0.6893223774416722	407092	alpha-Cyperone	PublicSpecLibrary	29	219.17430114746097
201	0.6893223774416722	407228	alpha-Cyperone	PublicSpecLibrary	29	219.17430114746097
201	0.9931297710105638	407534	alpha-Cyperone	PublicSpecLibrary	29	219.17430114746097
201	0.9160961302198736	408072	alpha-Cyperone	PublicSpecLibrary	29	219.17430114746097
201	0.9689396345779404	408431	alpha-Cyperone	PublicSpecLibrary	29	219.17430114746097
201	0.8483258416901162	488627	(+)-Nootkatone - 40.0 eV	PublicSpecLibrary	29	219.17430114746097
201	0.8468569025317966	488628	(+)-Nootkatone - 40.0 eV	PublicSpecLibrary	29	219.17430114746097
201	0.8329869097581145	488629	(+)-Nootkatone - 40.0 eV	PublicSpecLibrary	29	219.17430114746097
201	0.8323257122617788	488630	(+)-Nootkatone - 40.0 eV	PublicSpecLibrary	29	219.17430114746097
201	0.8354109504884047	488631	(+)-Nootkatone - 40.0 eV	PublicSpecLibrary	29	219.17430114746097
43	0.839468979358833	97018	"""9,10-dihydrojasmonic acid CollisionEnergy:102040"""	PublicSpecLibrary	1	177.12733459472656
43	0.8746348742498273	108497	"""3-(2-methylpropyl)-3a,4,5,6-tetrahydro-2-benzofuran-1(3h)-one CollisionEnergy:102040"""	PublicSpecLibrary	1	177.12733459472656
43	0.7258943727610785	119821	"""3-(2-methylpropyl)-3a,4,5,6-tetrahydro-2-benzofuran-1(3h)-one CollisionEnergy:205060"""	PublicSpecLibrary	1	177.12733459472656
30	0.9725418828826726	10895	corypalmine	PublicSpecLibrary	21	342.16986083984375
100	0.6848962086959659	10926	RH80_1238_S01_F20-22	PublicSpecLibrary	1	265.143310546875
100	0.6686916163390395	18634	4-(2,7-dihydroxy-6-methylheptan-2-yl)-3-hydroxybenzoic acid	PublicSpecLibrary	1	265.143310546875
100	0.695253887504522	92199	Abscisic acid	PublicSpecLibrary	1	265.143310546875
100	0.6939886663720016	92202	Abscisic acid	PublicSpecLibrary	1	265.143310546875
100	0.6954962206886325	92205	Abscisic acid	PublicSpecLibrary	1	265.143310546875
100	0.6960524341762174	92215	Abscisic acid	PublicSpecLibrary	1	265.143310546875
100	0.6951327357674134	92220	Abscisic acid	PublicSpecLibrary	1	265.143310546875
100	0.6959639361185291	92225	Absicic Acid	PublicSpecLibrary	1	265.143310546875
100	0.6962463452593486	92228	Absicic Acid	PublicSpecLibrary	1	265.143310546875
100	0.6938084367747318	92231	Absicic Acid	PublicSpecLibrary	1	265.143310546875
100	0.6698437849504525	92845	Gamma_CECH	PublicSpecLibrary	1	265.143310546875
100	0.6740972399221743	92847	Gamma_CECH	PublicSpecLibrary	1	265.143310546875
100	0.8167710146393381	96940	abscisic acid CollisionEnergy:102040	PublicSpecLibrary	1	265.143310546875
100	0.8780861993514261	100110	ABSCISIC ACID CollisionEnergy:102040	PublicSpecLibrary	1	265.143310546875
100	0.8332400004617321	102928	ABSCISIC ACID CollisionEnergy:102040	PublicSpecLibrary	1	265.143310546875
100	0.7966912084252621	102929	ABSCISIC ACID CollisionEnergy:102040	PublicSpecLibrary	1	265.143310546875
100	0.8378045993561594	105237	GNF-Pf-5341 CollisionEnergy:102040	PublicSpecLibrary	1	265.143310546875
100	0.8374771843336868	106505	Artemisinin CollisionEnergy:102040	PublicSpecLibrary	1	265.143310546875
100	0.8031929637859747	108104	"""10,12-dihydroxy-9-methyl-4,13-dimethylene-6-oxatricyclo[7.4.0.0<3,7>]tridecan- 5-one CollisionEnergy:102040"""	PublicSpecLibrary	1	265.143310546875
100	0.6906076043203361	116575	GNF-Pf-5341 CollisionEnergy:205060	PublicSpecLibrary	1	265.143310546875
100	0.6965529487388435	117838	Artemisinin CollisionEnergy:205060	PublicSpecLibrary	1	265.143310546875
100	0.6510333827155848	457593	(1S,8R,9R)-8-hydroxy-4-(propan-2-ylidene)-10-oxatricyclo[7.2.1.01,5]dodecane-8-carboxylic acid	PublicSpecLibrary	1	265.143310546875
100	0.6634067215211704	457594	(1S,8R,9R)-8-hydroxy-4-(propan-2-ylidene)-10-oxatricyclo[7.2.1.01,5]dodecane-8-carboxylic acid	PublicSpecLibrary	1	265.143310546875
140	0.9988651978097768	5102	sphingosin C16 (Artifact)-emf	PublicSpecLibrary	9	274.27410888671875
140	0.7847386815719981	401938	2-[dodecyl(2-hydroxyethyl)amino]ethanol	PublicSpecLibrary	9	274.27410888671875
140	0.9990157298217094	404801	2-[dodecyl(2-hydroxyethyl)amino]ethanol	PublicSpecLibrary	9	274.27410888671875
58	0.8087192408748157	103805	CollisionEnergy:102040	PublicSpecLibrary	1	263.1277770996094
58	0.8107214004158674	103806	CollisionEnergy:102040	PublicSpecLibrary	1	263.1277770996094
58	0.7430382270875951	115145	CollisionEnergy:205060	PublicSpecLibrary	1	263.1277770996094
58	0.734893184328668	115146	CollisionEnergy:205060	PublicSpecLibrary	1	263.1277770996094
58	0.9303373296902911	168154	8-acetyl-5,7-dimethoxy-2,2-dimethylchromene	PublicSpecLibrary	1	263.1277770996094
58	0.9282143104915976	168182	8-acetyl-5,7-dimethoxy-2,2-dimethylchromene	PublicSpecLibrary	1	263.1277770996094
58	0.9436072515574976	168208	8-acetyl-5,7-dimethoxy-2,2-dimethylchromene	PublicSpecLibrary	1	263.1277770996094
58	0.9291415343167724	168235	8-acetyl-5,7-dimethoxy-2,2-dimethylchromene	PublicSpecLibrary	1	263.1277770996094
58	0.9359368091356643	168262	8-acetyl-5,7-dimethoxy-2,2-dimethylchromene	PublicSpecLibrary	1	263.1277770996094
58	0.8237088894517509	352498	BML00523 Austricine	PublicSpecLibrary	1	263.1277770996094
163	0.8084409322003407	186707	(1R,4R,6R,10S)-4,12,12-trimethyl-9-methylene-5-oxatricyclo[8.2.0.0~4,6~]dodecane	PublicSpecLibrary	1	221.1899871826172
163	0.7674388107984131	186731	(1R,4R,6R,10S)-4,12,12-trimethyl-9-methylene-5-oxatricyclo[8.2.0.0~4,6~]dodecane	PublicSpecLibrary	1	221.1899871826172
163	0.8252950716810572	186754	(1R,4R,6R,10S)-4,12,12-trimethyl-9-methylene-5-oxatricyclo[8.2.0.0~4,6~]dodecane	PublicSpecLibrary	1	221.1899871826172
163	0.8460611736619623	186778	(1R,4R,6R,10S)-4,12,12-trimethyl-9-methylene-5-oxatricyclo[8.2.0.0~4,6~]dodecane	PublicSpecLibrary	1	221.1899871826172
163	0.8440472641535536	186802	(1R,4R,6R,10S)-4,12,12-trimethyl-9-methylene-5-oxatricyclo[8.2.0.0~4,6~]dodecane	PublicSpecLibrary	1	221.1899871826172
163	0.86081570847675	186826	(1R,4R,6R,10S)-4,12,12-trimethyl-9-methylene-5-oxatricyclo[8.2.0.0~4,6~]dodecane	PublicSpecLibrary	1	221.1899871826172
180	0.8316011630881318	23494	3,9-Diacetoxy-2,6,6,13-tetramethyl-12-oxotetracyclo[11.2.1.0~1,10~.0~2,7~]hexadec-8-yl benzoate	PublicSpecLibrary	1	547.2693481445312
41	0.7176372588436112	96939	abscisic acid CollisionEnergy:205060	PublicSpecLibrary	1	265.1431884765625
41	0.8930226326557461	96940	abscisic acid CollisionEnergy:102040	PublicSpecLibrary	1	265.1431884765625
41	0.7605350742163839	100110	ABSCISIC ACID CollisionEnergy:102040	PublicSpecLibrary	1	265.1431884765625
41	0.875671386550688	102928	ABSCISIC ACID CollisionEnergy:102040	PublicSpecLibrary	1	265.1431884765625
41	0.8823120099832348	102929	ABSCISIC ACID CollisionEnergy:102040	PublicSpecLibrary	1	265.1431884765625
41	0.9491890492012288	105237	GNF-Pf-5341 CollisionEnergy:102040	PublicSpecLibrary	1	265.1431884765625
41	0.9461057600927124	106505	Artemisinin CollisionEnergy:102040	PublicSpecLibrary	1	265.1431884765625
41	0.6816530745657283	108104	"""10,12-dihydroxy-9-methyl-4,13-dimethylene-6-oxatricyclo[7.4.0.0<3,7>]tridecan- 5-one CollisionEnergy:102040"""	PublicSpecLibrary	1	265.1431884765625
41	0.7010631569173796	114264	ABSCISIC ACID CollisionEnergy:205060	PublicSpecLibrary	1	265.1431884765625
41	0.7211709272836193	114265	ABSCISIC ACID CollisionEnergy:205060	PublicSpecLibrary	1	265.1431884765625
41	0.8126772038218059	116575	GNF-Pf-5341 CollisionEnergy:205060	PublicSpecLibrary	1	265.1431884765625
41	0.8254210073435855	117838	Artemisinin CollisionEnergy:205060	PublicSpecLibrary	1	265.1431884765625
41	0.7342889792117452	453678	STROBILACTONE A	PublicSpecLibrary	1	265.1431884765625
41	0.8708525351033823	457593	(1S,8R,9R)-8-hydroxy-4-(propan-2-ylidene)-10-oxatricyclo[7.2.1.01,5]dodecane-8-carboxylic acid	PublicSpecLibrary	1	265.1431884765625
41	0.8533388804765225	457594	(1S,8R,9R)-8-hydroxy-4-(propan-2-ylidene)-10-oxatricyclo[7.2.1.01,5]dodecane-8-carboxylic acid	PublicSpecLibrary	1	265.1431884765625
41	0.7363338121210543	461280	zinniol	PublicSpecLibrary	1	265.1431884765625
172	0.7186413520328105	6103	Arginine butyl ester	PublicSpecLibrary	37	231.17431640625
84	0.7798777231439497	7463	1-methyl-4-methylidene-7-(propan-2-yl)-1,2,3,3a,4,5,6,8a-octahydroazulen-1-ol	PublicSpecLibrary	1	203.17935180664065
363	0.7363112885769845	122789	Arg-C17:0	PublicSpecLibrary	-1	427.3568115234375
123	0.6618712713884576	458856	(6Z,10E)-4-hydroxy-6-(hydroxymethyl)-10-methyl-3-methylidene-3a,4,5,8,9,11a-hexahydrocyclodeca[b]furan-2-one	PublicSpecLibrary	1	287.127685546875
91	0.8564613790248029	34440	Benzoic acid, 3,5-bis(1,1-dimethylethyl)-4-hydroxy-	PublicSpecLibrary	1	251.1641082763672
127	0.7301107540315923	2512	Putative_Alantolactone	PublicSpecLibrary	-1	233.1535797119141
127	0.9160614407504504	7562	9a-hydroxy-3,4a,5-trimethyl-2H,4H,4aH,5H,6H,7H,8H,8aH,9H,9aH-naphtho[2,3-b]furan-2-one	PublicSpecLibrary	-1	233.1535797119141
127	0.815767689236816	21527	Naphtho[2,3-b]furan-2(4H)-one, 4a,5,6,7,8,8a,9,9a-octahydro-9a-hydroxy-3,4a,5-trimethyl-, (4aR,5S,8aS,9aR)-	PublicSpecLibrary	-1	233.1535797119141
127	0.7466782537698088	21978	2(3H)-Naphthalenone, 4,4a,5,6,7,8-hexahydro-3,6-dihydroxy-4a,5-dimethyl-3-(1-methylethenyl)-, (3S,4aR,5R,6R)-	PublicSpecLibrary	-1	233.1535797119141
127	0.7224534689989414	106722	Isoalantolactone CollisionEnergy:102040	PublicSpecLibrary	-1	233.1535797119141
127	0.8307841025012043	122119	asterolide	PublicSpecLibrary	-1	233.1535797119141
127	0.8207876487990503	405326	(3aS,6E,10E,11aR)-6,10-dimethyl-3-methylidene-3a,4,5,8,9,11a-hexahydrocyclodeca[b]furan-2-one	PublicSpecLibrary	-1	233.1535797119141
127	0.8859029650841472	406570	(3aS,6E,10E,11aR)-6,10-dimethyl-3-methylidene-3a,4,5,8,9,11a-hexahydrocyclodeca[b]furan-2-one	PublicSpecLibrary	-1	233.1535797119141
127	0.8864002123111371	407128	(3aS,6E,10E,11aR)-6,10-dimethyl-3-methylidene-3a,4,5,8,9,11a-hexahydrocyclodeca[b]furan-2-one	PublicSpecLibrary	-1	233.1535797119141
127	0.8987021928880886	407187	(3aS,6E,10E,11aR)-6,10-dimethyl-3-methylidene-3a,4,5,8,9,11a-hexahydrocyclodeca[b]furan-2-one	PublicSpecLibrary	-1	233.1535797119141
127	0.6856169466970842	407990	(3aS,6E,10E,11aR)-6,10-dimethyl-3-methylidene-3a,4,5,8,9,11a-hexahydrocyclodeca[b]furan-2-one	PublicSpecLibrary	-1	233.1535797119141
127	0.7351772802416938	436239	COSTUNOLIDE	PublicSpecLibrary	-1	233.1535797119141
46	0.7786922286807862	366159	Verrucarol	PublicSpecLibrary	1	267.1590270996094
46	0.8032997282993044	366280	Verrucarol	PublicSpecLibrary	1	267.1590270996094
46	0.6769976906126807	366301	Sambucinol	PublicSpecLibrary	1	267.1590270996094
205	0.8733812119555562	14270	Drospirenone	PublicSpecLibrary	-1	367.2267761230469
205	0.8773742011022395	14271	Drospirenone	PublicSpecLibrary	-1	367.2267761230469
205	0.8567675992979755	15499	Drospirenone	PublicSpecLibrary	-1	367.2267761230469
205	0.6987079531186366	106983	Umbelliprenin CollisionEnergy:102040	PublicSpecLibrary	-1	367.2267761230469
205	0.6766702080521056	383981	Dihydrostilbene base + 3O, 2Prenyl	PublicSpecLibrary	-1	367.2267761230469
205	0.7114453609699397	413068	(1R,2R,4R,10R,11S,14S,15S,16S,18S,19S)-10,14-dimethylspiro[hexacyclo[9.8.0.02,4.05,10.014,19.016,18]nonadec-5-ene-15,5`-oxolane]-2`,7-dione	PublicSpecLibrary	-1	367.2267761230469
205	0.8643843095389002	413486	(1R,2R,4R,10R,11S,14S,15S,16S,18S,19S)-10,14-dimethylspiro[hexacyclo[9.8.0.02,4.05,10.014,19.016,18]nonadec-5-ene-15,5`-oxolane]-2`,7-dione	PublicSpecLibrary	-1	367.2267761230469
205	0.8625226158845666	417578	Drospirenone	PublicSpecLibrary	-1	367.2267761230469
205	0.8625226158845666	483710	Drospirenone	PublicSpecLibrary	-1	367.2267761230469
36	0.777163076579097	4628	Asimilobine	PublicSpecLibrary	1	268.1332092285156
36	0.777163076579097	10832	Asimilobine	PublicSpecLibrary	1	268.1332092285156
199	0.7819965677983745	186707	(1R,4R,6R,10S)-4,12,12-trimethyl-9-methylene-5-oxatricyclo[8.2.0.0~4,6~]dodecane	PublicSpecLibrary	-1	221.1900177001953
199	0.7521755100061518	186731	(1R,4R,6R,10S)-4,12,12-trimethyl-9-methylene-5-oxatricyclo[8.2.0.0~4,6~]dodecane	PublicSpecLibrary	-1	221.1900177001953
199	0.8209729991986149	186754	(1R,4R,6R,10S)-4,12,12-trimethyl-9-methylene-5-oxatricyclo[8.2.0.0~4,6~]dodecane	PublicSpecLibrary	-1	221.1900177001953
199	0.9063401967867096	186778	(1R,4R,6R,10S)-4,12,12-trimethyl-9-methylene-5-oxatricyclo[8.2.0.0~4,6~]dodecane	PublicSpecLibrary	-1	221.1900177001953
199	0.8729418158356926	186802	(1R,4R,6R,10S)-4,12,12-trimethyl-9-methylene-5-oxatricyclo[8.2.0.0~4,6~]dodecane	PublicSpecLibrary	-1	221.1900177001953
199	0.8427125652363022	186826	(1R,4R,6R,10S)-4,12,12-trimethyl-9-methylene-5-oxatricyclo[8.2.0.0~4,6~]dodecane	PublicSpecLibrary	-1	221.1900177001953
119	0.8241092724664294	96969	abscisic aldehyde CollisionEnergy:205060	PublicSpecLibrary	1	231.1379241943359
119	0.9118027383991686	96971	abscisic aldehyde CollisionEnergy:102040	PublicSpecLibrary	1	231.1379241943359
119	0.8660787241944825	103562	Parthenolide CollisionEnergy:102040	PublicSpecLibrary	1	231.1379241943359
119	0.8777445657995886	104300	20554-84-1 CollisionEnergy:102040	PublicSpecLibrary	1	231.1379241943359
119	0.7932054655715679	106646	Dehydrocostus lactone CollisionEnergy:102040	PublicSpecLibrary	1	231.1379241943359
119	0.7256774109475765	114901	Parthenolide CollisionEnergy:205060	PublicSpecLibrary	1	231.1379241943359
119	0.7228786419083431	115641	20554-84-1 CollisionEnergy:205060	PublicSpecLibrary	1	231.1379241943359
119	0.8966583132402574	210345	Dehydrocostus Lactone	PublicSpecLibrary	1	231.1379241943359
159	0.7521696925892634	10928	RH65_2_S01_F9	PublicSpecLibrary	1	249.1485137939453
159	0.7403387152858969	22631	Naphtho[2,3-b]furan-2(4H)-one, 4a,5,6,7,8,8a,9,9a-octahydro-9,9a-dihydroxy-3,4a,5-trimethyl-, (4aR,5S)-	PublicSpecLibrary	1	249.1485137939453
159	0.6854547825545185	415628	FIO00817 Hypnophilin	PublicSpecLibrary	1	249.1485137939453
159	0.9419312804421268	415797	FIO00816 Hypnophilin	PublicSpecLibrary	1	249.1485137939453
159	0.8842056212125193	437481	Hydroxyvalerenic Acid	PublicSpecLibrary	1	249.1485137939453
159	0.717093227669812	437482	Hydroxyvalerenic Acid	PublicSpecLibrary	1	249.1485137939453
159	0.8224191574986556	443769	2-[(3S)-3-hydroxy-4a,8-dimethyl-2,3,4,5,6,7-hexahydro-1H-naphthalen-2-yl]prop-2-enoic acid	PublicSpecLibrary	1	249.1485137939453
159	0.830216414300415	462556	Pechueloic Acid	PublicSpecLibrary	1	249.1485137939453
51	0.7878532498628326	7843	10-methoxy-4-methyl-12-oxa-4-azapentacyclo[9.6.1.0,.0?,?.0?,?]octadeca-7(18),8,10,15-tetraen-14-ol	PublicSpecLibrary	-1	300.1598205566406
51	0.7738313323951853	11818	Codeine	PublicSpecLibrary	-1	300.1598205566406
51	0.79006258801079	121995	codeine	PublicSpecLibrary	-1	300.1598205566406
51	0.7836178959776644	357383	Methylmorphine	PublicSpecLibrary	-1	300.1598205566406
51	0.7837428266130367	357389	Methylmorphine	PublicSpecLibrary	-1	300.1598205566406
51	0.6992036764602508	375064	(4R,4aR,7aR,12bS)-9-methoxy-3-methyl-1,2,4,4a,5,6,7a,13-octahydro-4,12-methanobenzofuro[3,2-e]isoquinoline-7-one	PublicSpecLibrary	-1	300.1598205566406
51	0.7521714444132693	411640	(4R,4aR,7S,7aR,12bS)-9-methoxy-3-methyl-2,4,4a,7,7a,13-hexahydro-1H-4,12-methanobenzofuro[3,2-e]isoquinoline-7-ol	PublicSpecLibrary	-1	300.1598205566406
51	0.7663801296855057	414240	(4R,4aR,7S,7aR,12bS)-9-methoxy-3-methyl-2,4,4a,7,7a,13-hexahydro-1H-4,12-methanobenzofuro[3,2-e]isoquinoline-7-ol	PublicSpecLibrary	-1	300.1598205566406
